date,value
2016-05-09,1042
2016-05-10,1982
2016-05-11,1946
2016-05-12,1274
2016-05-13,1478
2016-05-14,1062
2016-05-15,1150
2016-05-16,1097
2016-05-17,1814
2016-05-18,1702
2016-05-19,1192
2016-05-20,1424
2016-05-21,1799
2016-05-22,1291
2016-05-23,1223
2016-05-24,1068
2016-05-25,1488
2016-05-26,1683
2016-05-27,1886
2016-05-28,1293
2016-05-29,1344
2016-05-30,1607
2016-05-31,1164
2016-06-01,1276
2016-06-02,1170
2016-06-03,1094
2016-06-04,1428
2016-06-05,1759
2016-06-06,1118
2016-06-07,1197
2016-06-08,1297
2016-06-09,1920
2016-06-10,1635
2016-06-11,1502
2016-06-12,1760
2016-06-13,1872
2016-06-14,1575
2016-06-15,1955
2016-06-16,1804
2016-06-17,1272
2016-06-18,1815
2016-06-19,1915
2016-06-20,1597
2016-06-21,1184
2016-06-22,1215
2016-06-23,1949
2016-06-24,1527
2016-06-25,1039
2016-06-26,1602
2016-06-27,1058
2016-06-28,1075
2016-06-29,1733
2016-06-30,1877
2016-07-01,1670
2016-07-02,1421
2016-07-03,1999
2016-07-04,1310
2016-07-05,1141
2016-07-06,1250
2016-07-07,1594
2016-07-08,1177
2016-07-09,1980
2016-07-10,1765
2016-07-11,1319
2016-07-12,1160
2016-07-13,1413
2016-07-14,1045
2016-07-15,1834
2016-07-16,1679
2016-07-17,1335
2016-07-18,1833
2016-07-19,1738
2016-07-20,1654
2016-07-21,1264
2016-07-22,1983
2016-07-23,1344
2016-07-24,1648
2016-07-25,1461
2016-07-26,1561
2016-07-27,1837
2016-07-28,1807
2016-07-29,1560
2016-07-30,1019
2016-07-31,1772
2016-08-01,1204
2016-08-02,1363
2016-08-03,1084
2016-08-04,1711
2016-08-05,1338
2016-08-06,1203
2016-08-07,1443
2016-08-08,1348
2016-08-09,1680
2016-08-10,1637
2016-08-11,1017
2016-08-12,1542
2016-08-13,1243
2016-08-14,1829
2016-08-15,1405
2016-08-16,1874
2016-08-17,1007
2016-08-18,1012
2016-08-19,1219
2016-08-20,1352
2016-08-21,1433
2016-08-22,1442
2016-08-23,1712
2016-08-24,1330
2016-08-25,1392
2016-08-26,1933
